

,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Origin,Origin (Code),Office,Type
"Argentina","AR","Total","Total",1269,955,952,1102,1182,,,,,,955,943,503,787,899,877,1323,1099,1142,1206,1397,1044,944,1110,1048,1279,1305,1250,1115,952,868,1027,1084,922,793,889,1143,766,755,815,1239,717,
"Bangladesh","BD","Total","Total",34,39,40,40,62,40,16,23,24,32,32,36,72,36,39,70,22,46,32,49,70,59,43,75,48,51,22,30,60,56,69,41,72,84,59,117,149,76,85,89,56,91,
"Brazil","BR","Total","Total",2150,2172,2116,2302,2064,1954,1855,2452,2339,2325,2390,2319,2100,2429,2680,3105,2966,3104,3103,3355,3799,3975,4065,4452,4817,4922,4978,5403,5525,5426,5743,6364,6608,6851,6714,6576,7221,7505,6859,7458,7271,6909,
"China","CN","Total","Total",,,,,,4067,3495,3977,4780,4749,5833,7372,10022,12084,11483,10326,11994,13063,14186,16239,26489,31297,41496,58755,69017,97950,129290,161310,204269,241435,308345,436186,561472,734115,837857,1010557,1257466,1306077,1460243,1328067,1441086,1538604,
"Colombia","CO","Total","Total",43,41,,83,69,72,81,53,85,90,,85,120,138,124,141,91,85,163,71,79,74,56,134,124,135,190,204,205,260,242,406,346,380,460,558,752,784,637,638,597,692,
"Egypt","EG","Total","Total",76,59,53,88,129,168,142,170,190,186,278,308,301,328,308,408,504,,495,541,537,467,627,505,405,457,,647,551,547,685,723,805,766,884,839,1061,1156,1174,1183,1187,997,
"India","IN","Total","Total",1209,1067,1128,,1004,982,1001,988,1033,1048,1147,1267,1248,1210,1717,1708,1955,2248,2654,2645,2886,3486,4204,5374,6730,8037,9440,10541,11561,11940,14888,15914,18250,20945,22476,24018,25887,28010,30035,34052,37895,43163,
"Indonesia","ID","Total","Total",5,,16,40,26,49,32,62,,113,,34,67,38,29,62,43,79,94,153,168,216,268,227,252,256,311,324,409,450,572,600,,755,771,1180,1154,2320,1451,3141,1358,1445,
"Iran (Islamic Republic of)","IR","Total","Total",171,286,202,213,162,183,,207,167,141,182,262,225,278,266,278,288,285,338,368,410,691,911,1296,2441,4071,5995,10700,15463,12244,11199,11643,10700,11343,13769,,15081,15478,12074,11705,11550,10350,
"Malaysia","MY","Total","Total",,,,,,8,29,71,73,84,92,106,151,198,223,149,222,194,205,231,226,319,352,722,920,922,1014,1177,1363,1810,1938,1948,1980,2298,2661,2352,1966,2148,2060,2141,1923,1863,
"Mexico","MX","Total","Total",709,767,551,733,688,591,629,742,652,758,661,564,569,555,661,610,558,616,726,714,779,859,805,754,903,935,1057,1183,1249,1349,1649,1937,2225,2144,2189,2508,2407,2530,2693,2535,2102,1994,
"Nigeria","NG","Total","Total",,,,,,10,,,,,12,,,,,,,,,,,,,,,,,,,,,81,53,64,,,98,116,415,452,423,,
"Pakistan","PK","Total","Total",37,,,,,,,,,,23,22,17,19,31,21,16,27,45,45,46,58,55,60,77,150,105,129,190,,136,139,117,207,202,258,273,244,350,411,376,491,
"Philippines","PH","Total","Total",119,91,134,63,102,91,75,76,86,71,147,147,133,178,181,169,164,125,164,146,158,138,151,194,250,280,302,330,313,253,275,301,290,350,607,737,557,508,736,674,630,695,
"Russian Federation","RU","Total","Total",,,,,,,,,,,,,39494,28503,21804,18070,18466,15574,16998,20626,24159,25729,24548,25644,25038,25948,30574,30491,31099,28860,32847,31467,34861,34079,28518,33811,31857,27806,30696,29712,30283,25904,
"South Africa","ZA","Total","Total",3102,3345,3023,4243,3878,4055,4735,4926,4830,5136,1093,1025,889,904,1768,1543,1332,949,856,800,1538,1658,1678,1540,1799,2110,1913,2066,2099,1964,2001,1770,1699,2215,2322,2086,2020,2189,1861,1517,1457,2751,
"Thailand","TH","Total","Total",13,26,40,48,49,55,60,68,78,43,73,80,67,110,150,148,208,250,486,743,580,549,633,910,921,1000,1149,1130,1108,1186,1389,1140,1279,1913,1406,1395,1601,1611,1685,1810,1512,1548,
"Türkiye","TR","Total","Total",135,157,126,,153,132,174,138,153,162,138,148,189,169,164,185,209,226,239,332,366,446,551,654,965,1242,1642,2397,3037,3319,4212,5284,6017,5799,6499,7307,8389,11157,9360,10047,10110,10869,
"Ukraine","UA","Total","Total",,,,,,,,,,,,,309,8687,5355,4808,3636,4696,5333,5416,5644,7232,1645,2254,4711,3957,3912,4139,3409,2868,3038,3318,3085,3499,2992,2880,2745,2793,2541,2467,1710,1706,
"Viet Nam","VN","Total","Total",,,,,52,,7,,20,46,58,37,34,32,22,23,37,31,25,35,34,53,69,81,109,183,202,232,218,264,325,322,426,498,562,685,633,663,749,838,1133,1205,
